English,Meaning
techno,техно
hinges,шарниры
zhu,чжу
helium,гелий
imposed,наложенный
financing,финансирование
restrictions,ограничения
implied,подразумеваемые
idaho,Айдахо
simplest,самый простой
traits,черты
implement,осуществлять
supervise,контролировать
evident,очевидный
skank,Skank
lucious,Lucious
gogh,Гог
analyzing,анализирующая
drooling,слюнотечение
princesses,принцесс
coastal,береговой
bargaining,переговоры
matrimony,брак
airfield,летное поле
sensual,чувственный
takashi,Takashi
lennon,Lennon
right-,верно-
cycles,циклы
grimes,Граймс
feeble,слабый
moreno,Moreno
hutton,Hutton
spikes,шипы
rugged,прочный
reviewing,рецензирование
potassium,калий
tombs,гробниц
mimics,подражает
elton,Elton
homage,дань
devious,окольный
postcards,открытки
crimson,малиновый цвет
activist,активист
rulers,правители
rowing,гребля
conditioner,кондиционер
quoting,квотирование
filmmaker,кинорежиссер
softball,софтбол
outline,контур
doses,дозы
perjury,лжесвидетельство
etiquette,этикет
joyous,радостный
intestines,кишечник
residential,Жилой
envelopes,конверты
tortoise,черепаха
unjust,несправедливый
fetish,фетиш
blasts,взрывы
completion,завершение
davenport,тахта
heartbreak,большое горе
safari,сафари
brochure,брошюра
larson,Larson
limousine,лимузин
hiccups,икота
boast,хвастаться
portraits,портреты
escorted,Автобусный
magnitude,величина
28th,двадцать восьмой
collapsing,рушится
selina,Селина
coupon,купон
utility,полезность
gourmet,гурман
wrecking,вредительство
snore,храп
ll-,LL-
motions,движения
courting,ухаживание
suicides,самоубийцы
meera,Миры
apprehended,Арестован
prescribe,предписать
aldo,Альдо
lian,Лиан
installation,монтаж
likeness,сходство
interface,интерфейс
metals,металлы
blindness,слепота
sluts,неряхи
thakur,Тхакур
one-time,один раз
accelerator,ускоритель
awol,самоволка
jan.,Январе
firms,фирмы
kale,листовая капуста
stretches,растягивает
tack,клейкость
auxiliary,вспомогательный
swipe,красть
shelters,приюты
childbirth,роды
livelihood,средства к существованию
longed,жаждал
swordsman,фехтовальщик
resourceful,находчивый
sabbath,суббота
stormed,штурмовал
self-destruct,саморазрушение
gaps,пробелы
incentive,стимул
showdown,разборок
harding,закалка
ref,ссылка
οf,οf
molten,расплавленный
frosty,морозный
franky,Фрэнки
henceforth,отныне
renewed,обновленный
sitter,приходящая няня
petey,Пити
richardson,Richardson
fingertips,Кончики пальцев
handcuffed,наручники
cocking,взведенный
catfish,сом
johann,Johann
charger,зарядное устройство
disciplined,дисциплинированный
said-,сказал-
outing,выход
como,Como
una,уна
glitch,Сбой
jell-o,студень-о
lt`s,lt`s
grants,гранты
porcelain,фарфор
remarried,повторно женился
firepower,огневая мощь
captioned,Captioned
hampton,Хэмптон
flawed,недостатки
uno,Организация Объединенных Наций
griff,Griff
scarcely,едва
rips,сулой
roach,плотва
stairwell,лестничная клетка
memorized,запомнить
coded,закодированный
negligence,небрежность
belgrade,Белград
arteries,артерии
toot,гудок
stunts,трюки
buttocks,ягодицы
forks,вилки
mentions,упоминает
loco,астрагал
cedric,Седрик
b1,b1
mika,Mika
adler,адлер
bellows,сильфон
snowy,снежно
pelvis,таз
hymn,гимн
audit,аудит
slashed,полоснул
frantic,неистовый
negroes,негры
calves,телята
pao,пао
aloha,алоха
sahara,Сахара
freshly,недавно
sabotaged,саботировали
poodle,пудель
archaeologists,археологи
gore,ластовица
meatball,фрикаделька
maggots,личинки
horrifying,ужасающий
prosecuted,преследоваться
briefed,представил Питеру
cider,сидр
pompous,напыщенный
boomer,рекламирующий
hard-on,тяжело
coulson,Коулсон
waiters,официанты
abundance,избыток
barricade,баррикада
gallon,галлон
kali,поташ
literal,буквальный
scrubbing,скребущий
implies,подразумевает
discouraged,обескураженный
kowalski,Kowalski
almond,миндаль
chestnut,каштан
syphilis,сифилис
criteria,критерии
contacting,контактирование
trainee,стажер
haskell,Haskell
elvira,Эльвира
rambo,Рэмбо
rad,радиан
poe,PoE
farmhouse,дом
hallucination,галлюцинация
heals,заживает
samba,самба
lizards,ящериц
straws,соломки
silicon,кремний
reptiles,рептилии
waldo,Уолдо
paces,шагов
fenton,Фентон
slugs,слизни
leftover,пережиток
ze,зе
freighter,грузовое судно
bashed,колотил
convicts,осужденные
jerky,вяленое мясо
solemnly,торжественно
accommodation,размещение
slag,шлак
non-stop,без остановки
lemons,лимоны
whitman,Уитмен
lemme,Лемм
verified,подтвержденному
jethro,Jethro
fancied,воображаемого
partridge,куропатка
number-one,номер один
woo-hoo,Woo-Hoo
defiance,неповиновение
laila,Лайла
hottie,красотку
rohan,Рохан
lyla,Lyla
stripping,демонтаж
pant,пыхтеть
mutton,баранина
hypocrisy,лицемерие
dyson,Dyson
invaluable,неоценимый
ce,в.п.
lucrative,прибыльный
cbs,к.б.н.
slows,замедляется
penal,уголовный
uploaded,загруженное
akbar,акбар
orchestral,оркестровый
endlessly,бесконечно
he-he,хе-хе
hitchcock,Хичкок
broads,бабах
redo,Повторить
illegitimate,незаконнорожденный
dmv,DMV
self-respect,самоуважение
ceased,перестал
blender,смеситель
accordance,соответствие
brandt,Брандт
dobbs,Доббс
makeover,макияж
viagra,виагра
enhanced,повышенная
unprofessional,непрофессиональный
scanned,сканируется
mow,косить
whiskers,бакенбарды
tourism,туризм
yöur,ваш
listeners,слушателей
rebirth,возрождение
predicament,затруднительное положение
vendor,продавец
confessions,признания
patriots,патриоты
as,в виде
jakob,Jakob
illiterate,неграмотный
hounds,свора гончих
malicious,злонамеренный
labyrinth,лабиринт
psyche,душа
cher,шер
honda,Хонда
florist,флорист
nathaniel,Натаниель
extraterrestrials,инопланетяне
unthinkable,немыслимый
frail,хилый
plato,Платон
planetary,планетарный
on-,на-
hitched,женатый
elle,Elle
flair,чутье
ruse,хитрость
observatory,обсерватория
heavyweight,тяжеловес
diplomacy,дипломатия
tonya,Тоня
sri,шри
ev,эв
nutty,увлекающийся
extravagant,экстравагантный
caterpillar,гусеница
skeptical,скептический
ideology,идеология
pak,пак
chainsaw,бензопила
healthier,здоровее
linking,сшивание
prudent,предусмотрительный
cutler,ножовщик
mugs,кружки
1ah00,1ah00
junkies,наркоманы
rudder,руль направления
hermann,Герман
ot,Ветхий Завет
laundering,отмывание
kaufman,Кауфман
pints,пинт
succession,правопреемство
possesses,обладает
urges,позывы
structural,структурный
lollipop,леденец
atmospheric,атмосферный
weirder,страннее
sory,Сори
stride,шаг
blizzard,метель
extracted,извлеченный
administer,Администрирование
meghan,Meghan
pinocchio,Пиноккио
state-of-the-art,уровень развития
grimm,Гримм
fireball,огненный шар
individually,в отдельности
flask,колба
obeyed,повиновался
swain,обожатель
hubble,кочка
burgess,житель
rohit,Рохит
coffins,гробы
booster,ракета-носитель
erratic,неустойчивый
undergo,претерпевать
typed,типизированных
bearded,бородатый
fucked-up,трахал вверх
salami,салями
ports,порты
hamptons,Хемптон
marsha,Марши
versa,Versa
oval,овальный
downfall,крушение
warwick,Warwick
ulcer,язва
friendships,дружба
when,когда
domination,доминирование
dementia,слабоумие
arthritis,артрит
refusal,отказ
juvie,juvie
journals,журналы
volatile,летучий
performers,исполнители
beneficial,выгодный
seaman,матрос
iranian,иранец
sputtering,распыление
sled,санки
mortality,смертность
carlson,Карлсон
and--and,и и
hysteria,истерия
hui,хуэй
beseech,BESEECH
endings,окончания
shea,карите
miscarriage,выкидыш
patrons,покровители
moya,мойя
hun,гунн
15-year-old,15-летний
racer,гонщик
plots,участки
hoop,обруч
dojo,школа дзюдо
vents,вентиляционные отверстия
unfamiliar,незнакомый
slab,горбыль
persecution,преследование
monarchy,монархия
himmler,Гиммлер
philosophical,философский
ping-pong,пинг-понг
dumb-ass,тупица
soften,смягчают
celine,Селин
carmichael,Carmichael
herpes,герпес
riddles,загадки
foggy,туманный
coz,сог
specialized,специализированный
corridors,коридоры
parvati,Парвати
mikhail,михаил
deemed,наносящими
astronomy,астрономия
reins,поводья
yous,Yous
duet,дуэт
beginner,начинающий
viewed,Количество просмотров
nebula,туманность
fascination,очарование
fussy,суетливый
elect,избранные
collier,угольщик
evaluate,оценивать
microscopic,микроскопический
hearty,сердечный
mammoth,мамонт
oppressed,угнетены
diameter,диаметр
tailing,образование хвостов
intoxicated,опьяненный
photographic,фотографический
shocks,шоки
descending,по убыванию
stakeout,разбивочных
pioneers,пионеры
towed,буксируемый
submission,подчинение
prostate,простата
ointment,мазь
hr,час
bids,предложения
recalled,вспомнил
gaius,Gaius
electrician,электрик
aneurysm,аневризма
neha,неха
sulking,дуться
actively,активно
mortuary,морг
serenity,умиротворенность
funded,финансирование
mmmm,мммм
shreds,клочья
pearce,Pearce
mixer,Смеситель
rockin,ROCKIN
draining,осушение
bolted,болтовой
tania,Tania
assurance,гарантия
zapping,Подгонка
bossy,властный
venezuela,Венесуэла
commentary,комментарий
beheaded,Beheaded
waffle,вафельный
unnoticed,незамеченный
onward,далее
rollins,Роллинс
cnn,спп
cleanup,уборка
cosy,уютный
branded,заклеймили
plow,плуг
schneider,Шнейдер
farley,Фарли
deluxe,роскошный
aft,кормовой
neurotic,невротический
rani,рани
chords,аккорды
tanker,танкер
now.,сейчас же.
tides,приливы
settlers,поселенцы
bio,био
rosen,Розен
snowman,Снеговик
berta,Берта
geisha,гейша
transactions,операции
reflexes,рефлексы
extraordinarily,чрезвычайно
chunks,ломти
shekhar,Шекхар
assaulting,нападение
obsolete,устаревший
consultation,консультация
agreeable,приятный
impostor,самозванец
lobo,лобо
wasp,Оса
maturity,зрелость
sheik,шейх
liberate,освобождать
brilliantly,блестяще
surfer,серфер
hattie,Хэтти
selma,Сельма
lowell,Lowell
sameer,Самира
snores,храп
27th,двадцать седьмой
assumptions,допущения
capability,возможность
bridegroom,жених
mysteriously,таинственно
priors,приоры
leanne,Лиан
defective,дефектный
joss,амулет
tombstone,надгробная плита
rach,КСД
writings,писанина
delicacy,лакомство
tumble,сушильная
silva,сильва
hospitalized,госпитализированы
fig,Рис
speculate,спекулировать
sha,ша
yeh,Yeh
fidel,Fidel
inflicted,навязанный
stabilize,стабилизировать
outs,выходы
violations,нарушения
deuce,двойка
significantly,существенно
newcomer,пришелец
youngster,юнец
engineered,Engineered
sighted,зрячий
riddance,избавление
seasoned,приправленный
picket,пикет
abc,азбука
aziz,Aziz
you--you,вы - вы
mecca,Мекка
jeeves,Дживс
insomnia,бессонница
pendant,кулон
harmonica,губная гармоника
your-,ваш-
listing,список
viruses,вирусы
ich,ич
heartache,боль в сердце
trumpets,трубы
dvds,DVDs
ruthie,Рути
jace,Джейс
proceeds,доходы
intruding,вторгаясь
betcha,Спорим
reddy,Редди
pasture,выгон
inspectors,инспекторы
horrified,в ужасе
neighborhoods,окрестности
sprained,подвернула
lambs,ягнят
democrat,демократ
jameson,Jameson
lovebirds,неразлучники
rivalry,соперничество
vial,флакон
rv,с.в.
bret,Брет
peeking,выглядывая
talisman,талисман
stats,статистика
arsenic,мышьяк
buchanan,Бьюкенен
intake,потребление
sheikh,шейх
takeover,перенимать
scanners,сканеры
gareth,Gareth
foreplay,любовная игра
acquaintances,знакомства
alphonse,Альфонс
thames,Темза
lotte,Lotte
championships,чемпионаты
pines,сосны
swallows,ласточки
rewarding,награждение
cornell,Cornell
recession,спад
brands,бренды
firearm,огнестрельное оружие
squawks,пронзительных
shepard,овчарки
ukrainian,украинец
superboy,супер мальчик
infectious,инфекционный
morrow,завтра
yahoo,Yahoo
robertson,робертсон
pious,благочестивый
brainwashed,промывания мозгов
quantities,величины
sgt.,сержант
societies,общества
sedated,седативные
milly,Milly
wines,вина
jimbo,Джимбо
colourful,красочный
i0,i0
time-out,тайм-аут
superheroes,супергерои
bribery,взяточничество
jacuzzi,джакузи
out-,вне-
old-school,старая школа
pours,льет
geological,геологический
valuables,ценности
crossword,кроссворд
bunnies,кролики
undead,нежитью
bathed,вымытый
linger,задерживаться
roster,список
rebuilding,восстановление
comms,порта связи
moods,капризы
grinder,шлифовальный станок
weber,вб
harem,гарем
proxy,полномочие
kincaid,Кинкейд
timed,приуроченная
toxins,токсины
mendoza,Мендоса
originated,порожденный
tracing,трассировка
wham,бам
ironing,гладильный
quotes,цитаты
nemo,Немо
mar,март
hauled,буксируемых
docking,стыковка
sciences,науки
accelerate,ускорять
relive,Оживите
aggravated,усугубленный
rabb,рабб
downright,совершенно
brushes,щетки
adjustments,корректировок
chandi,Чанди
steaming,пропаривания
confessing,Признания
xiang,сян
lucie,Lucie
paso,Paso
wary,осторожный
hemisphere,полусфера
quaint,причудливый
magically,волшебно
accordion,аккордеон
aisha,Аиша
cowardice,трусость
cramped,ограниченный
bailing,откачка
instagram,Instagram
curt,односложный
fo,Ф.О.
stamina,выносливость
cheesecake,чизкейк
testosterone,тестостерон
updates,обновления
fend,парировать
lumps,комки
lux,люкс
crummy,пухленький
lise,Lise
coil,катушка
discovers,обнаруживает
upbringing,воспитание
geronimo,Джеронимо
transmitting,передачи
manolo,Маноло
franny,Фрэнни
barbaric,варварский
thong,плеть
trespass,прегрешение
ballerina,балерина
genetics,генетика
kay,кай
lilies,лилии
elegance,элегантность
kenji,Kenji
sats,Сац
casinos,казино
yak,як
she-,она-
paged,выгружаемый
welles,Уэллса
streaming,потоковое
navigator,навигатор
cleaver,дровокол
anew,заново
marseille,марсель
odor,запах
great-grandfather,прадед
raiders,рейдеры
sprayed,распыляется
crypt,крипта
spam,спам
teeny,крохотный
twig,прут
anesthesia,анестезия
scandalous,скандальный
esteem,почитать
carmine,кармин
ripley,Рипли
breached,умудрился нарушить
benji,Benji
givin,Givin
s-eye,с глаз
spanking,трепка
devi,деви
trot,рысь
selfie,селфи
strategies,стратегии
bb,бб
thriving,процветающий
haunts,прибежища
kyoko,Киоко
snails,улитки
compose,Compose
hopping,перескок
coconuts,кокосы
amidst,среди
powering,подача питания
indigenous,местный
awakening,пробуждение
bop,бибоп
hippies,хиппи
exorcism,экзорсизм
swiftly,быстро
gamblers,картежники
jd,юлианский день
scoob,Scoob
maddox,Мэддокс
blinding,ослепление
29th,двадцать девятая
engraved,гравированной
kahn,кан
labeled,маркированный
maude,Мод
comforts,комфорт
ample,обильный
hyo,Хё
clang,лязг
understatement,занижение
disqualified,дисквалифицированный
taels,таэлей
brando,Брандо
meteorite,метеорит
seok,сеок
trio,трио
centimeters,см
fae,феи
reconnaissance,разведывательный
darnell,Дарнелл
flares,факелы
leukemia,лейкемия
gupta,Гупта
alexei,алексей
palermo,Палермо
shareholders,акционеры
kelsey,Kelsey
commandments,заповеди
optimus,Оптимус
din,шум
isa,это
camper,отдыхающий
smoker,курильщик
frankfurt,франкфурт
serene,безмятежный
jocelyn,Джоселин
trolls,тролли
intentional,намеренный
icing,обледенение
fore,носовой
bali,бали
gorge,теснина
hermit,отшельник
countrymen,земляки
vibrant,вибрирующий
smuggler,контрабандист
dosage,дозировка
fictional,вымышленный
fakes,подделками
runt,коротышка
antonia,Antonia
intolerable,невыносимый
pavilion,павильон
livia,Livia
pretext,отговорка
wail,стенания
madge,Мэдж
la-la,ла-ла
skid,занос
adores,обожает
ibrahim,Ibrahim
cunningham,Cunningham
jekyll,Джекил
swapped,поменять местами
phoning,снятия трубки
barbed,колючий
pledged,залог
galactica,Galactica
ecstatic,экстатический
mtv,МТВ
genitals,гениталии
ancients,древние
yee,Йи
african-american,афроамериканец
weakly,слабо
typhoon,тайфун
citizenship,гражданство
terra,земля
turbulence,турбулентность
responds,откликается
lowe,лоу
perpetual,бессрочный
skis,лыжи
tipping,опрокидывающийся
irons,утюги
lash,плеть
trades,сделки
shagging,трахает
marshmallows,зефир
possum,опоссум
jericho,Иерихон
saxon,саксонский
enchanting,феерический
sleazy,неряшливый
abner,Авенир
voilà,voilà
26th,двадцать шестой
upsets,расстраивает
imaging,изображений
dis,дис
stefano,Stefano
amaze,Удивите
kimono,кимоно
fleischman,Флейшман
johannes,Johannes
disobeyed,ослушался
court-martial,военно-полевой суд
firsthand,из первых рук
vans,фургоны
smallpox,оспа
accomplishment,достижение
vu,вю
complicate,усложнять
voltage,Напряжение
traction,тяговый
lifeguard,Спасатель
mcbride,McBride
universities,университеты
swimsuit,купальник
discarded,отбрасываются
romano,романо
infiltrated,инфильтрированной
goodbyes,прощаться
guillotine,гильотина
ipod,Сделать ставку
specifics,конкретика
nuke,ядерное оружие
katz,Katz
khun,Khun
chipped,сколы
limbo,лимбо
rehearsed,репетировала
davidson,Дэвидсон
lima,Лима
moto,мото
marketplace,рыночная площадь
rj,т
cleansing,очищающий
scientifically,научно
pepperoni,пепперони
dissolved,растворенный
auggie,Огги
cholera,холера
packets,пакеты
punctual,пунктуальный
mockery,издевательство
rafe,Рейф
migraine,мигрень
cedar,кедр
bends,отводы
myung,Myung
fancies,причуды
margie,Марджи
fallout,выпадать
casserole,запеканка
girly,девчушки
graft,трансплантат
yvette,Yvette
stickers,наклейки
tyou,tyou
benefactor,благодетель
vendetta,вендетта
arun,Арун
chiang,цзян
fatherland,отечество
boon,благодеяние
lazarus,Лазарь
participated,принимала участие
dottie,Дотти
banish,Изгнать
lush,пышный
talker,болтун
leavin,Leavin
gulps,глотков
pups,щенки
washroom,уборная
soar,витать
frightens,пугает
firefighter,пожарный
wipes,влажные салфетки
infect,инфицируют
desserts,десерты
concepts,концепции
stimulating,стимулирующее
indicating,указывающий
off-limits,вне пределов
sequel,продолжение
sherwood,Sherwood
earnest,серьёзность
disposable,одноразовый
noir,нуар
lem,Лем
sturdy,крепкий
finnish,финский язык
so-so,так себе
traditionally,по традиции
abomination,мерзость
compact,компактный
samir,Samir
hyderabad,Хайдарабад
chino,Чино
grandkids,внуки
rec,запись
souvenirs,сувениры
shredded,дробленый
minerals,полезные ископаемые
hints,Рекомендации
forsaken,оставленным
rubles,рублей
lucius,Луций
anus,анус
pharmacist,фармацевт
puffs,затяжек
diaries,дневников
unannounced,без объявления
high-tech,высокотехнологичный
honolulu,Гонолулу
calculating,расчета
blindfolded,с завязанными глазами
kingsley,Кингсли
battleship,линкор
presumed,предполагаемый
exceptionally,исключительно
topless,с обнаженной грудью
scouting,разведка
durant,Дюрант
alarming,тревожный
bias,предвзятость
estates,усадеб
fatima,Fatima
pods,стручки
assisting,содействие
molested,приставал
offerings,предложения
believable,правдоподобно
airports,аэропорты
overrun,перерасход
al-qaeda,Аль-Каида
parlour,кабинет
fearsome,грозный
ticks,тиков
widower,вдовец
versailles,ВЕРСАЛЬ
draper,драпировщик
heh-heh,хе-хе
endanger,ставят под угрозу
dummies,манекены
sook,Сук
exploitation,эксплуатация
with,с
summary,резюме
joanie,Джоанне
drool,сочиться
plugs,штекеры
taelons,тейлоны
piled,сложено
thank-you,Спасибо
informal,неофициальный
stabler,стабильнее
authorize,Авторизоваться
promptly,быстро
dover,Дувр
robotnik,Robotnik
faithfully,верно
gemini,Близнецы
selfless,бескорыстный
phelps,Фелпс
leech,пиявка
sentencing,вынесение приговора
perverts,извращенцы
sassy,дерзкий
vegetation,растительность
nab,наб
lim,Ит
carton,коробка
featuring,с участием
scapegoat,козел отпущения
burr,заусенец
provinces,провинция
nd,й
regroup,перегруппировать
heller,геллер
machete,мачете
micky,Мики
rebellious,мятежный
celebrations,празднования
reconcile,примириться
technicians,техники
merits,заслуги
prosecutors,прокуроры
eunuch,евнух
unrelated,несвязанный
captivity,неволя
aroma,аромат
barred,запрещенный
pe,ре
crumbling,рушатся
manila,манильской
snowball,снежок
armenian,армянин
penetrated,проникло
atlas,атлас
volts,вольт
yolanda,Иоланда
evasive,уклончивый
b0,b0
piling,свайные
watkins,Watkins
eisenhower,Эйзенхауэр
u.s.a.,Соединенные Штаты Америки.
cullen,каллен
commodity,товар
bimbo,пустышка
starbucks,Старбакс
riverside,берег реки
dismissal,увольнение
dada,папа
afternoons,после обеда
ballad,баллада
cheerleading,черлидинг
haystack,стог сена
perv,извращенец
contamination,загрязнение
hye,Хё
blurry,размыто
u.n.,ООН.
lowlife,низкий уровень жизни
malaysia,Малайзия
reddington,Реддингтон
gah,г
recreation,отдых
authors,авторы
wrongs,неправды
regulars,завсегдатаи
fascism,фашизм
fridays,пятниц
scheming,коварный
outgoing,исходящий
penniless,безденежный
weaken,ослабевать
wrongly,превратно
whirs,whirs
sandoval,Сандовал
sweeney,Sweeney
patiently,терпеливо
birch,береза
incompetence,некомпетентность
spartan,спартанский
colombian,колумбийский
kobe,Коби
kaos,Kaos
prohibition,запрет
gorillas,горилл
oakland,Oakland
requirement,требование
skateboard,скейтборд
zo,зо
lew,лев
similarities,сходство
grazie,Grazie
aviation,авиация
despised,презираемый
accessories,аксессуары
perished,погибшим
wilhelm,Wilhelm
inferno,ад
swoop,налетать
linden,липа
quill,полый вал
diverse,разнообразный
hawking,вразнос
payoff,расплачиваться
retaliation,воздаяние
raines,Рейнс
whorehouse,бордель
wigs,парики
megatron,Мегатрон
be1,be1
patel,патель
relevance,актуальность
novelist,романист
carpets,ковры
brenner,Бреннер
mambo,мамбо
shoplifting,воровство в магазинах
amp,ампер
suffocated,задохнулся
soho,сохо
grotesque,гротеск
stewardess,стюардесса
cochran,Кокрэн
jukebox,проигрыватель-автомат
minors,несовершеннолетние
oo,оо
detecting,обнаруживая
really-,В самом деле-
pillars,столбы
interfered,вмешивался
establishing,налаживание
atheist,атеист
algae,водоросли
uni,уни
krista,Криста
haiti,Гаити
mouthful,полный рот
algebra,алгебра
luka,Luka
conor,Конор
energies,силы
pandora,бандура
collections,коллекции
punjab,Пенджаб
trojan,троянский
disadvantage,недостаток
regan,Regan
nevermind,забудь
headless,без головы
cortex,кора головного мозга
ganga,ганга
valium,валиум
berserk,неистовый
ritz,Ритц
flack,паблисити
transfers,переводы
adamant,непреклонный
shortest,самый короткий
distinctly,отчетливо
kimi,Kimi
doorknob,дверная ручка
ruptured,разорванный
indoor,в помещении
millionaires,миллионеры
carts,тележки
cords,шнуры
carmela,Кармела
arlene,Арлин
celery,сельдерей
jonesy,Джоунси
residency,резиденция
conveniently,удобно
ranking,ранжирование
foil,фольга
responses,ответы
sweety,конфетка
jaffa,яффа
troublemaker,смутьян
man-made,искусственный
slum,трущобы
landry,Ландри
palestinian,палестинец
sr.,стер.
floss,зубочистка
hap,случаться
maw,утроба
shushing,замолчать
carnage,резня
rapper,рэппер
bucky,Баки
all-time,все время
poole,Poole
vogue,мода
troopers,десантники
squeaky,скрипучий
aditya,адитйа
undertaker,гробовщик
compromising,компромат
daisuke,Дайсуке
eureka,эврика
privy,конфиденциальный
sacramento,Sacramento
encryption,шифрование
john-boy,джон-мальчик
burrows,норы
hoist,подъемник
emphasis,акцент
moderate,умеренный
retro,ретро
cincinnati,цинциннати
mainframe,мэйнфреймов
sociopath,социопат
elmo,Elmo
nighttime,ночь
namely,а именно
mads,Мадс
mistook,перепутал
delaney,Делани
cannabis,конопля
aims,цели
s--it,сидеть
spraying,распыление
craziness,сумасшествие
stares,смотрит
ballistic,баллистический
fussing,суета
uncanny,сверхъестественный
salaam,селям
rainforest,тропические леса
arlo,Арло
lunatics,лунатики
ebay,Ebay
futures,фьючерсы
confederate,конфедерат
kelvin,кельвин
benito,Бенито
hunts,охотится
ridicule,осмеяние
unethical,неэтично
can-,может-
nai,най
flushes,флеши
gregor,Грегор
aeryn,Айрин
groot,Гроот
yue,юэ
jer,жер
ringtone,мелодия
manson,Мэнсон
monuments,памятники
crafty,коварный
cooled,охлажденный
jingles,джинглы
chronicle,хроника
vested,наделяется
trademark,товарный знак
y0u,y0u
trampled,растоптали
ku,ка
mules,мулы
piglet,поросенок
cherished,лелеял
shang,шан
up-,вверх-
band-aid,лейкопластырь
alba,альба
clem,Клем
persuasion,убедительность
genocide,геноцид
brilliance,блеск
toledo,Толедо
persecuted,преследуемый
tuesdays,по вторникам
inability,неспособность
quincy,Куинси
shalom,шалом
toil,маяться
weiss,Вайс
hes,ГЭС
alexandria,Александрия
sdi,СОИ
gonna-,собираюсь-
epi,эпи
orthodox,ортодоксальный
custard,заварной крем
bosnia,босния
wuss,слабак
mondo,Mondo
time-,время-
detonation,детонация
cylon,Cylon
evicted,выселены
mailed,почта
liberties,свободы
martine,Martine
newport,ньюпорт
untrue,несоответствующий
berg,айсберг
bland,ласковый
heirs,наследники
praises,хвалит
osama,Осама
ancestral,наследственный
relish,приправа
romero,Ромеро
toxin,токсин
seating,посадка
bras,бюстгальтеров
medici,Medici
flattery,лесть
unspeakable,невыразимый
reincarnation,реинкарнация
evolving,эволюционирует
marin,марин
muster,тревогам
cramps,колики
characteristic,характерная черта
schizophrenic,шизофреник
enjoyment,наслаждение
bangalore,Бангалора
britt,Britt
employers,работодатели
casings,оболочки
1chffffff,1chffffff
painfully,болезненно
delays,задержки
overweight,избыточный вес
dreary,тоскливый
canceling,отмена
viola,альт
behaves,ведет себя
tragically,трагически
mindless,бессмысленный
colette,Колетт
poisons,яды
unheard,неслыханным
pyjamas,пижама
contractors,подрядчики
cisco,сиг
flashy,кричащий
commend,Commend
then-,потом-
cinch,подпруга
presses,прессы
mater,мать
plucked,Сорванные
repeats,повторы
carriers,носители
gen,поколения
omaha,омаха
participants,участники
payne,Payne
yawning,зевающий
conan,конан
faraway,далеко
mackerel,скумбрия
loki,локи
flakes,хлопья
meyers,Мейерс
raincoat,плащ
thereby,тем самым
sewn,пришитый
reilly,Рейли
fyi,FYI
nostalgia,ностальгия
da-da,да-да
descendant,потомок
hopped,охмеленная
handyman,мастер на все руки
lagoon,лагуна
merciless,беспощадный
bouncer,вышибала
speck,пятнышко
lifeless,безжизненный
westminster,Вестминстер
donner,Доннер
lancelot,Ланселот
anarchist,анархист
amish,амишей
ophelia,Офелия
mart,рынок
sympathize,сочувствовать
croft,приусадебный участок
susanna,Сюзанна
sneaked,проносят
shiver,дрожать
pointy,заостренный
tod,пройдоха
fad,прихоть
dwelling,жилье
decipher,дешифратор
acre,акр
animated,анимированные
predictions,прогнозы
ehh,эхх
penetration,проникновение
queenie,Queenie
tampering,подделка
suk,сук
unsafe,небезопасный
conned,надули
merrick,Меррик
contractions,схватки
chaperone,сопровождать
clipped,обрезанный
masha,маша
ap,ар
singular,единственное число
loathe,ненавидеть
manipulative,манипулятивный
outraged,возмущен
lurch,крениться
ultimatum,ультиматум
delegate,делегат
pedophile,педофил
directive,директива
pleaded,взмолился
reducing,сокращение
hurtful,вредный
latino,латино
wick,фитиль
smoothie,льстец
traumatized,травмированный
short-term,в ближайщем будущем
thermometer,термометр
vines,лозы
fugitives,беглецы
persona,персона
channing,Ченнинг
herbie,Херби
aargh,Aargh
marcello,Марчелло
pritchard,Притчард
ist,IST
taping,запись на пленку
arkansas,арканзас
norfolk,Норфолк
yamamoto,Ямамото
congressional,конгрессменов
askin,спрашиваешь
haze,мгла
macau,макау
bazaar,восточный базар
enabled,включено
deserts,пустыни
steiner,Steiner
eloped,скрывшийся
mutilated,изуродованный
walnut,грецкий орех
excite,возбуждают
pegasus,Пегас
swallowing,проглатывание
plutonium,плутоний
doomsday,конец света
co-workers,сотрудники
talia,Talia
j',J»
moriarty,Мориарти
cycling,кататься на велосипеде
one-man,один мужчина
cougar,пума
guillaume,Гийом
spaniards,Испанцы
asparagus,спаржа
quagmire,трясина
thorpe,Торп
donnelly,Доннелли
nathalie,Nathalie
centauri,Центавра
sims,симы
blasphemy,богохульство
rents,арендная плата
continually,беспрестанно
nu,ню
newlyweds,молодожены
huddle,жаться
adolescent,подросток
3-d,3-й
crescent,полумесяц
loch,озеро
saddest,грустное
gustavo,Густаво
bleeds,кровоточит
giulia,Giulia
turnout,оказаться
nudity,нагота
alternatives,альтернативы
intoxication,опьянение
doves,голуби
interstate,межгосударственный
spokesman,представитель
itinerary,маршрут
slipper,тапочка
monsoon,муссон
unfold,разворачиваться
appetizers,закуски
scripture,священное писание
relaxation,отдых
pox,сифилис
pilar,волосистой
rabid,бешеный
cackles,хохочет
kiddies,детишки
lovable,привлекательный
señora,Сеньора
termination,прекращение
coy,застенчивый
